customer_id,customer_segment,region
CUST_00001,SMB,East
CUST_00002,Consumer,East
CUST_00003,Consumer,West
CUST_00004,Consumer,East
CUST_00005,Enterprise,Central
CUST_00006,Enterprise,East
CUST_00007,Enterprise,Central
CUST_00008,Consumer,East
CUST_00009,Consumer,Central
CUST_00010,Consumer,East
CUST_00011,Enterprise,East
CUST_00012,Consumer,South
CUST_00013,Consumer,Central
CUST_00014,SMB,Central
CUST_00015,Enterprise,Central
CUST_00016,Enterprise,North
CUST_00017,SMB,East
CUST_00018,SMB,Central
CUST_00019,SMB,North
CUST_00020,SMB,South
CUST_00021,Consumer,Central
CUST_00022,Enterprise,Central
CUST_00023,SMB,North
CUST_00024,SMB,East
CUST_00025,SMB,South
CUST_00026,Consumer,Central
CUST_00027,Enterprise,East
CUST_00028,SMB,South
CUST_00029,Consumer,West
CUST_00030,Enterprise,West
CUST_00031,Consumer,South
CUST_00032,Enterprise,North
CUST_00033,Enterprise,South
CUST_00034,Consumer,South
CUST_00035,Consumer,North
CUST_00036,Consumer,North
CUST_00037,SMB,East
CUST_00038,Enterprise,East
CUST_00039,Consumer,North
CUST_00040,SMB,West
CUST_00041,Enterprise,West
CUST_00042,SMB,South
CUST_00043,Enterprise,Central
CUST_00044,Consumer,South
CUST_00045,SMB,South
CUST_00046,Consumer,Central
CUST_00047,SMB,North
CUST_00048,SMB,West
CUST_00049,SMB,South
CUST_00050,Enterprise,Central
CUST_00051,Consumer,East
CUST_00052,Consumer,South
CUST_00053,Consumer,West
CUST_00054,Consumer,North
CUST_00055,Consumer,South
CUST_00056,Consumer,South
CUST_00057,Enterprise,Central
CUST_00058,Enterprise,East
CUST_00059,Enterprise,East
CUST_00060,SMB,North
CUST_00061,SMB,West
CUST_00062,SMB,North
CUST_00063,Consumer,South
CUST_00064,SMB,South
CUST_00065,SMB,East
CUST_00066,SMB,West
CUST_00067,Enterprise,Central
CUST_00068,Consumer,West
CUST_00069,Enterprise,South
CUST_00070,Consumer,Central
CUST_00071,Consumer,West
CUST_00072,Enterprise,West
CUST_00073,Enterprise,Central
CUST_00074,Consumer,South
CUST_00075,Consumer,West
CUST_00076,Consumer,Central
CUST_00077,Consumer,South
CUST_00078,Enterprise,Central
CUST_00079,SMB,Central
CUST_00080,Enterprise,West
CUST_00081,Consumer,South
CUST_00082,Consumer,West
CUST_00083,SMB,North
CUST_00084,Enterprise,North
CUST_00085,SMB,South
CUST_00086,SMB,Central
CUST_00087,Consumer,West
CUST_00088,Consumer,West
CUST_00089,Consumer,South
CUST_00090,SMB,South
CUST_00091,Enterprise,North
CUST_00092,Consumer,East
CUST_00093,Consumer,South
CUST_00094,Consumer,East
CUST_00095,Consumer,South
CUST_00096,SMB,Central
CUST_00097,SMB,Central
CUST_00098,SMB,North
CUST_00099,Enterprise,North
CUST_00100,Enterprise,East
CUST_00101,Enterprise,South
CUST_00102,Consumer,West
CUST_00103,SMB,North
CUST_00104,SMB,West
CUST_00105,Consumer,West
CUST_00106,SMB,South
CUST_00107,SMB,East
CUST_00108,Consumer,South
CUST_00109,SMB,North
CUST_00110,Enterprise,West
CUST_00111,SMB,South
CUST_00112,Enterprise,South
CUST_00113,Consumer,South
CUST_00114,Consumer,North
CUST_00115,Consumer,East
CUST_00116,Consumer,South
CUST_00117,Consumer,North
CUST_00118,Enterprise,West
CUST_00119,Consumer,Central
CUST_00120,SMB,North
CUST_00121,Consumer,Central
CUST_00122,Consumer,South
CUST_00123,SMB,South
CUST_00124,Enterprise,North
CUST_00125,SMB,Central
CUST_00126,SMB,South
CUST_00127,Consumer,West
CUST_00128,Consumer,East
CUST_00129,Enterprise,East
CUST_00130,SMB,South
CUST_00131,SMB,Central
CUST_00132,SMB,South
CUST_00133,Enterprise,Central
CUST_00134,SMB,West
CUST_00135,Consumer,Central
CUST_00136,SMB,South
CUST_00137,SMB,West
CUST_00138,Consumer,North
CUST_00139,SMB,East
CUST_00140,Consumer,South
CUST_00141,Consumer,South
CUST_00142,SMB,South
CUST_00143,SMB,West
CUST_00144,SMB,North
CUST_00145,SMB,Central
CUST_00146,Enterprise,North
CUST_00147,Consumer,West
CUST_00148,SMB,South
CUST_00149,Enterprise,East
CUST_00150,SMB,South
CUST_00151,Consumer,Central
CUST_00152,SMB,East
CUST_00153,Enterprise,South
CUST_00154,SMB,East
CUST_00155,Consumer,North
CUST_00156,SMB,West
CUST_00157,Consumer,South
CUST_00158,Consumer,Central
CUST_00159,SMB,North
CUST_00160,Consumer,South
CUST_00161,SMB,North
CUST_00162,Consumer,Central
CUST_00163,Consumer,South
CUST_00164,SMB,Central
CUST_00165,Enterprise,East
CUST_00166,Consumer,Central
CUST_00167,SMB,East
CUST_00168,Enterprise,South
CUST_00169,Enterprise,East
CUST_00170,Consumer,South
CUST_00171,Consumer,South
CUST_00172,Enterprise,West
CUST_00173,SMB,South
CUST_00174,SMB,East
CUST_00175,Consumer,West
CUST_00176,Enterprise,West
CUST_00177,Consumer,South
CUST_00178,SMB,Central
CUST_00179,Consumer,Central
CUST_00180,Enterprise,West
CUST_00181,SMB,South
CUST_00182,Enterprise,Central
CUST_00183,Consumer,South
CUST_00184,Consumer,South
CUST_00185,SMB,West
CUST_00186,Consumer,West
CUST_00187,Consumer,North
CUST_00188,Consumer,Central
CUST_00189,SMB,Central
CUST_00190,SMB,Central
CUST_00191,Enterprise,East
CUST_00192,Consumer,South
CUST_00193,Consumer,West
CUST_00194,Consumer,Central
CUST_00195,SMB,North
CUST_00196,SMB,Central
CUST_00197,Consumer,South
CUST_00198,Consumer,South
CUST_00199,Consumer,West
CUST_00200,Consumer,East
CUST_00201,Consumer,West
CUST_00202,Enterprise,Central
CUST_00203,Enterprise,North
CUST_00204,Consumer,West
CUST_00205,Consumer,East
CUST_00206,Enterprise,West
CUST_00207,Enterprise,South
CUST_00208,Consumer,Central
CUST_00209,Enterprise,Central
CUST_00210,Enterprise,Central
CUST_00211,SMB,Central
CUST_00212,Consumer,Central
CUST_00213,Consumer,Central
CUST_00214,SMB,North
CUST_00215,Consumer,East
CUST_00216,SMB,Central
CUST_00217,SMB,East
CUST_00218,Consumer,Central
CUST_00219,Consumer,West
CUST_00220,Consumer,Central
CUST_00221,Consumer,South
CUST_00222,Consumer,North
CUST_00223,Enterprise,West
CUST_00224,SMB,West
CUST_00225,SMB,South
CUST_00226,SMB,Central
CUST_00227,Consumer,North
CUST_00228,SMB,West
CUST_00229,Consumer,North
CUST_00230,Consumer,West
CUST_00231,Consumer,Central
CUST_00232,SMB,West
CUST_00233,Consumer,West
CUST_00234,SMB,East
CUST_00235,Enterprise,Central
CUST_00236,Consumer,South
CUST_00237,SMB,South
CUST_00238,Enterprise,Central
CUST_00239,Consumer,South
CUST_00240,Enterprise,Central
CUST_00241,Consumer,South
CUST_00242,Consumer,East
CUST_00243,Consumer,South
CUST_00244,SMB,West
CUST_00245,Enterprise,Central
CUST_00246,Consumer,North
CUST_00247,SMB,North
CUST_00248,Consumer,Central
CUST_00249,Consumer,East
CUST_00250,Consumer,South
CUST_00251,SMB,East
CUST_00252,SMB,North
CUST_00253,Consumer,Central
CUST_00254,SMB,Central
CUST_00255,Enterprise,East
CUST_00256,Consumer,East
CUST_00257,Consumer,South
CUST_00258,Consumer,West
CUST_00259,Consumer,West
CUST_00260,Enterprise,South
CUST_00261,Consumer,West
CUST_00262,Consumer,North
CUST_00263,Enterprise,West
CUST_00264,SMB,South
CUST_00265,Consumer,West
CUST_00266,Consumer,Central
CUST_00267,Consumer,East
CUST_00268,Consumer,North
CUST_00269,SMB,Central
CUST_00270,SMB,Central
CUST_00271,Consumer,South
CUST_00272,Consumer,East
CUST_00273,Consumer,East
CUST_00274,Consumer,North
CUST_00275,SMB,South
CUST_00276,SMB,North
CUST_00277,Consumer,West
CUST_00278,Consumer,Central
CUST_00279,Consumer,North
CUST_00280,Consumer,Central
CUST_00281,Consumer,South
CUST_00282,SMB,West
CUST_00283,SMB,South
CUST_00284,Enterprise,West
CUST_00285,Consumer,West
CUST_00286,Enterprise,Central
CUST_00287,SMB,South
CUST_00288,SMB,South
CUST_00289,SMB,North
CUST_00290,Consumer,South
CUST_00291,Enterprise,North
CUST_00292,Enterprise,East
CUST_00293,Consumer,East
CUST_00294,SMB,East
CUST_00295,Enterprise,South
CUST_00296,SMB,South
CUST_00297,Consumer,North
CUST_00298,SMB,West
CUST_00299,Consumer,North
CUST_00300,Enterprise,East
CUST_00301,Enterprise,North
CUST_00302,SMB,West
CUST_00303,SMB,South
CUST_00304,Consumer,North
CUST_00305,Consumer,East
CUST_00306,Consumer,East
CUST_00307,SMB,South
CUST_00308,SMB,North
CUST_00309,Consumer,West
CUST_00310,SMB,South
CUST_00311,SMB,North
CUST_00312,Enterprise,Central
CUST_00313,Enterprise,East
CUST_00314,Consumer,West
CUST_00315,Consumer,West
CUST_00316,Consumer,West
CUST_00317,SMB,East
CUST_00318,Enterprise,North
CUST_00319,Enterprise,South
CUST_00320,SMB,North
CUST_00321,SMB,South
CUST_00322,Consumer,West
CUST_00323,Consumer,North
CUST_00324,SMB,West
CUST_00325,Consumer,Central
CUST_00326,Consumer,West
CUST_00327,Consumer,West
CUST_00328,Consumer,South
CUST_00329,SMB,Central
CUST_00330,SMB,West
CUST_00331,SMB,West
CUST_00332,Consumer,Central
CUST_00333,Enterprise,Central
CUST_00334,Enterprise,North
CUST_00335,Enterprise,South
CUST_00336,Enterprise,Central
CUST_00337,Consumer,Central
CUST_00338,Consumer,East
CUST_00339,SMB,Central
CUST_00340,Enterprise,South
CUST_00341,SMB,West
CUST_00342,SMB,West
CUST_00343,Enterprise,West
CUST_00344,SMB,West
CUST_00345,SMB,East
CUST_00346,Consumer,Central
CUST_00347,Consumer,West
CUST_00348,Enterprise,North
CUST_00349,SMB,West
CUST_00350,Consumer,Central
CUST_00351,SMB,West
CUST_00352,Consumer,East
CUST_00353,Consumer,South
CUST_00354,Enterprise,South
CUST_00355,Enterprise,Central
CUST_00356,Consumer,South
CUST_00357,Enterprise,South
CUST_00358,Consumer,North
CUST_00359,Consumer,Central
CUST_00360,Consumer,Central
CUST_00361,SMB,South
CUST_00362,Consumer,South
CUST_00363,SMB,South
CUST_00364,SMB,East
CUST_00365,Consumer,West
CUST_00366,SMB,East
CUST_00367,Consumer,Central
CUST_00368,Consumer,North
CUST_00369,Enterprise,West
CUST_00370,Enterprise,North
CUST_00371,Enterprise,Central
CUST_00372,Enterprise,Central
CUST_00373,Enterprise,North
CUST_00374,Consumer,North
CUST_00375,Enterprise,North
CUST_00376,SMB,Central
CUST_00377,Consumer,South
CUST_00378,Enterprise,North
CUST_00379,Consumer,West
CUST_00380,SMB,Central
CUST_00381,Enterprise,East
CUST_00382,Consumer,East
CUST_00383,Consumer,West
CUST_00384,Consumer,South
CUST_00385,Consumer,North
CUST_00386,Consumer,Central
CUST_00387,SMB,North
CUST_00388,Enterprise,Central
CUST_00389,Consumer,East
CUST_00390,Consumer,North
CUST_00391,Consumer,West
CUST_00392,SMB,South
CUST_00393,SMB,West
CUST_00394,Consumer,South
CUST_00395,SMB,North
CUST_00396,Consumer,North
CUST_00397,Consumer,South
CUST_00398,SMB,East
CUST_00399,Consumer,Central
CUST_00400,Consumer,West
CUST_00401,Enterprise,West
CUST_00402,Consumer,West
CUST_00403,SMB,North
